,State,District,Incumbent/Challenger/Open,Receipts 18m,Contributions from Individuals 18m,Contributions from PACs and Other Committees 18m,Contributions and Loans from the Candidate 18m,Disbursements 18m,Cash On Hand,Debts 18m,Coverage End Date,Year,Candidate last name,Candidate first name,Candidate middle name,Stage,Party,Candidate votes,Total votes,Won?
33,FLORIDA,12,Incumbent,254164,184617,44325,0,218128,222288,0,1990-06-30 00:00:00,1990,LEWIS,TOM,,GEN,REPUBLICAN,1.0,1,True
34,FLORIDA,13,Incumbent,281571,171341,104825,0,193824,129962,35183,1990-06-30 00:00:00,1990,GOSS,PORTER,JOHNSTON,GEN,REPUBLICAN,1.0,1,True
35,FLORIDA,14,Incumbent,339734,156431,165294,10000,152862,189731,0,1990-06-30 00:00:00,1990,JOHNSTON,HARRY,A II,GEN,DEMOCRAT,156055.0,236304,True
36,FLORIDA,16,Incumbent,473520,231214,213135,0,210455,424787,0,1990-06-30 00:00:00,1990,SMITH,LAWRENCE,JACK,GEN,DEMOCRAT,1.0,1,True
37,FLORIDA,17,Incumbent,319165,145453,161200,0,240128,299465,0,1990-06-30 00:00:00,1990,LEHMAN,WILLIAM,SR,GEN,DEMOCRAT,79569.0,101599,True
38,FLORIDA,18,Incumbent,1394625,941909,317272,40000,1208471,186153,0,1990-06-30 00:00:00,1990,ROS-LEHTINEN,ILEANA,,GEN,REPUBLICAN,56364.0,93343,True
39,FLORIDA,18,Challenger,187790,2790,0,185000,153633,33292,50000,1990-06-30 00:00:00,1990,ANSCHER,BERNARD,,GEN,DEMOCRAT,36978.0,93343,False
40,FLORIDA,19,Incumbent,340581,153693,106600,0,181460,746041,0,1990-06-30 00:00:00,1990,FASCELL,DANTE,B,GEN,DEMOCRAT,87696.0,141492,True
41,FLORIDA,19,Challenger,85688,72541,0,12402,80278,5371,0,1990-06-30 00:00:00,1990,ALLEN,BOB,,GEN,REPUBLICAN,53796.0,141492,False
42,GEORGIA,2,Incumbent,227457,85368,137150,0,186904,47227,7974,1990-06-27 00:00:00,1990,HATCHER,CHARLES,,GEN,DEMOCRAT,77910.0,106691,True
43,GEORGIA,3,Incumbent,255079,88283,88250,52000,231329,213914,40000,1990-06-27 00:00:00,1990,RAY,RICHARD,B,GEN,DEMOCRAT,72961.0,115522,True
44,GEORGIA,3,Challenger,33465,30652,2600,0,23405,10060,10773,1990-06-27 00:00:00,1990,BROUN,PAUL,COLLINS,GEN,REPUBLICAN,42561.0,115522,False
45,GEORGIA,4,Incumbent,322744,139654,179553,0,212479,116202,0,1990-06-27 00:00:00,1990,JONES,BEN,LEWIS,GEN,DEMOCRAT,96526.0,184095,True
46,GEORGIA,4,Challenger,337268,212597,29700,82000,267827,69440,50000,1990-06-27 00:00:00,1990,LINDER,JOHN,,GEN,REPUBLICAN,87569.0,184095,False
47,GEORGIA,5,Incumbent,189845,87862,101110,0,68990,213257,0,1990-06-27 00:00:00,1990,LEWIS,JOHN,,GEN,DEMOCRAT,86037.0,113818,True
48,GEORGIA,6,Incumbent,926355,638916,265121,0,727977,223235,0,1990-06-27 00:00:00,1990,GINGRICH,NEWT,,GEN,REPUBLICAN,78768.0,156562,True
49,GEORGIA,6,Challenger,170242,66714,92550,9385,139028,32170,9767,1990-06-30 00:00:00,1990,WORLEY,DAVID,JAMES,GEN,DEMOCRAT,77794.0,156562,False
50,GEORGIA,7,Incumbent,251363,103174,130541,0,132492,234821,0,1990-06-27 00:00:00,1990,DARDEN,GEORGE,W (BUDDY) III,GEN,DEMOCRAT,95817.0,159405,True
51,GEORGIA,8,Challenger,14200,13200,0,1000,8055,6144,0,1990-06-27 00:00:00,1990,CUNNINGHAM,ROBERT,FREDERICK JR,GEN,REPUBLICAN,36980.0,118324,False
52,HAWAII,1,Open,51851,51551,300,0,115622,29282,0,1990-06-30 00:00:00,1990,ABERCROMBIE,NEIL,,GEN,DEMOCRAT,97622.0,162711,True
53,HAWAII,2,Incumbent,45097,25020,0,20077,23908,21189,0,1990-06-30 00:00:00,1990,MINK,PATSY,T,GEN,DEMOCRAT,118155.0,178288,True
54,IDAHO,2,Incumbent,224630,64007,156950,0,142399,83918,0,1990-06-30 00:00:00,1990,STALLINGS,RICHARD,HOWARD,GEN,DEMOCRAT,98008.0,154052,True
55,IDAHO,2,Challenger,39829,9729,0,30100,36356,3471,30000,1990-06-30 00:00:00,1990,MCDEVITT,SEAN,DANIEL,GEN,REPUBLICAN,56044.0,154052,False
56,ILLINOIS,1,Incumbent,74074,15906,52200,0,94886,19739,6572,1990-06-30 00:00:00,1990,HAYES,CHARLES,A REP,GEN,DEMOCRAT,100890.0,107598,True
57,ILLINOIS,1,Challenger,6886,2180,0,4656,6310,576,4281,1990-06-30 00:00:00,1990,PEYTON,BABETTE,,GEN,REPUBLICAN,6708.0,107598,False
58,ILLINOIS,2,Incumbent,140651,83451,44050,11700,139012,1340,47104,1990-06-30 00:00:00,1990,SAVAGE,GUS,,GEN,DEMOCRAT,80245.0,102595,True
59,ILLINOIS,4,Incumbent,249514,40222,198788,0,142165,125697,28500,1990-06-30 00:00:00,1990,SANGMEISTER,GEORGE,E,GEN,DEMOCRAT,77290.0,130548,True
60,ILLINOIS,4,Challenger,262202,154257,14450,75000,193433,68741,75000,1990-06-30 00:00:00,1990,HOFFMAN,MANNY,,GEN,REPUBLICAN,53258.0,130548,False
61,ILLINOIS,5,Incumbent,95663,17160,77317,0,99502,3806,0,1990-06-30 00:00:00,1990,LIPINSKI,WILLIAM,O,GEN,DEMOCRAT,73805.0,111246,True
62,ILLINOIS,5,Challenger,5328,3260,0,2068,5306,22,2068,1990-06-30 00:00:00,1990,SHESTOKAS,DAVID,J,GEN,REPUBLICAN,34440.0,111246,False
63,ILLINOIS,6,Incumbent,226758,105799,97740,0,118280,264140,0,1990-06-30 00:00:00,1990,HYDE,HENRY,J,GEN,REPUBLICAN,96410.0,144565,True
64,ILLINOIS,7,Incumbent,283845,29175,188648,0,372445,122850,0,1990-06-30 00:00:00,1990,COLLINS,CARDISS,,GEN,DEMOCRAT,80021.0,100120,True
65,ILLINOIS,8,Incumbent,247997,24166,112200,0,217680,1064755,0,1990-06-30 00:00:00,1990,ROSTENKOWSKI,DAN,,GEN,DEMOCRAT,70151.0,88680,True
66,ILLINOIS,9,Incumbent,737739,455210,258546,0,784129,67420,0,1990-06-30 00:00:00,1990,YATES,SIDNEY,R,GEN,DEMOCRAT,96557.0,135588,True
67,ILLINOIS,9,Challenger,0,0,0,0,5196,2685,17797,1990-06-30 00:00:00,1990,SOHN,HERBERT,MD,GEN,REPUBLICAN,39031.0,135588,False
68,ILLINOIS,10,Incumbent,174474,103273,55586,0,171061,132936,0,1990-06-30 00:00:00,1990,PORTER,JOHN,EDWARD,GEN,REPUBLICAN,104070.0,153599,True
69,ILLINOIS,11,Incumbent,444205,130295,290067,0,257183,355534,0,1990-06-30 00:00:00,1990,ANNUNZIO,FRANK,,GEN,DEMOCRAT,82703.0,154245,True
70,ILLINOIS,11,Challenger,118752,76131,42451,0,86923,31827,0,1990-06-30 00:00:00,1990,DUDYCZ,WALTER,W,GEN,REPUBLICAN,68850.0,154245,False
71,ILLINOIS,12,Incumbent,116976,101351,0,0,103640,129140,0,1990-06-30 00:00:00,1990,CRANE,PHILIP,MILLER,GEN,REPUBLICAN,113081.0,137531,True
72,ILLINOIS,13,Incumbent,206280,131002,68570,0,151706,93508,0,1990-06-30 00:00:00,1990,FAWELL,HARRIS,W,GEN,REPUBLICAN,116048.0,176353,True
73,ILLINOIS,14,Incumbent,282134,167098,100445,0,188015,136732,0,1990-06-30 00:00:00,1990,HASTERT,J,DENNIS,GEN,REPUBLICAN,112383.0,167975,True
74,ILLINOIS,15,Incumbent,298671,59065,175416,0,222205,464590,0,1990-06-30 00:00:00,1990,MADIGAN,EDWARD,R,GEN,REPUBLICAN,119812.0,119822,True
75,ILLINOIS,17,Incumbent,280271,116390,161045,0,239114,44843,0,1990-06-30 00:00:00,1990,EVANS,LANE,,GEN,DEMOCRAT,102062.0,153442,True
76,ILLINOIS,17,Challenger,65031,51781,13250,0,55860,9169,28103,1990-06-30 00:00:00,1990,LEE,DAN,,GEN,REPUBLICAN,51380.0,153442,False
77,ILLINOIS,18,Incumbent,546780,115982,414335,0,412302,249854,0,1990-06-30 00:00:00,1990,MICHEL,ROBERT,H,GEN,REPUBLICAN,105693.0,107370,True
78,ILLINOIS,19,Incumbent,313097,32096,199991,0,150265,523602,0,1990-06-30 00:00:00,1990,BRUCE,TERRY,L,GEN,DEMOCRAT,113958.0,171888,True
79,ILLINOIS,19,Challenger,2703,1983,250,0,1503,1402,42970,1990-06-30 00:00:00,1990,KERANS,ROBERT,F,GEN,REPUBLICAN,55680.0,171888,False
80,ILLINOIS,20,Incumbent,193787,52888,119218,0,114774,257679,0,1990-06-30 00:00:00,1990,DURBIN,RICHARD,JOSEPH,GEN,DEMOCRAT,130114.0,196547,True
81,ILLINOIS,20,Challenger,25605,20105,5500,0,13312,12590,0,1990-06-30 00:00:00,1990,JURGENS,PAUL,EUGENE,GEN,REPUBLICAN,66433.0,196547,False
82,ILLINOIS,21,Incumbent,620130,355392,161450,0,296606,323784,0,1990-06-30 00:00:00,1990,COSTELLO,JERRY,F,GEN,DEMOCRAT,95208.0,144157,True
83,ILLINOIS,21,Challenger,22877,5033,0,16775,24437,374,14466,1990-03-31 00:00:00,1990,GAFFNER,ROBERT,H,GEN,REPUBLICAN,48949.0,144157,False
84,INDIANA,1,Incumbent,187739,62009,112370,0,176572,106378,0,1990-06-30 00:00:00,1990,VISCLOSKY,PETER,J,GEN,DEMOCRAT,68920.0,104370,True
85,INDIANA,1,Challenger,5830,10,0,5800,4302,1526,0,1990-06-30 00:00:00,1990,COSTAS,WILLIAM,BILL,GEN,REPUBLICAN,35450.0,104370,False
86,INDIANA,2,Incumbent,354972,72969,265499,0,127265,316337,0,1990-06-30 00:00:00,1990,SHARP,PHILIP,R,GEN,DEMOCRAT,93495.0,157475,True
87,INDIANA,3,Incumbent,381476,216640,147150,0,235454,148639,0,1990-06-30 00:00:00,1990,HILER,JOHN,PATRICK,GEN,REPUBLICAN,77911.0,158651,False
88,INDIANA,4,Incumbent,744192,263223,444039,0,642624,102004,20826,1990-06-30 00:00:00,1990,LONG,JILL,LYNETTE,GEN,DEMOCRAT,99347.0,163762,True
89,INDIANA,5,Challenger,243345,45057,2800,191453,240161,3184,191455,1990-06-30 00:00:00,1990,JOHNSON,JOHN,ARTHUR,GEN,REPUBLICAN,71750.0,153123,False
90,INDIANA,6,Incumbent,306345,152811,133371,0,168270,324246,0,1990-06-30 00:00:00,1990,BURTON,DAN,,GEN,REPUBLICAN,116470.0,183494,True
91,INDIANA,6,Challenger,15531,11778,0,2639,13779,1752,0,1990-06-30 00:00:00,1990,FADELY,JAMES,PHILIP,GEN,DEMOCRAT,67024.0,183494,False
92,INDIANA,7,Incumbent,93386,4677,50720,0,109272,116665,0,1990-06-30 00:00:00,1990,MYERS,JOHN,T,GEN,REPUBLICAN,88598.0,153846,True
93,INDIANA,8,Incumbent,260029,75153,175570,0,138437,123033,38875,1990-06-30 00:00:00,1990,MCCLOSKEY,FRANK,,GEN,DEMOCRAT,97465.0,178110,True
94,INDIANA,8,Challenger,45295,41657,125,0,43302,1991,1215,1990-06-30 00:00:00,1990,MOURDOCK,RICHARD,E,GEN,REPUBLICAN,80645.0,178110,False
95,INDIANA,9,Incumbent,292987,142979,131550,0,163925,180503,0,1990-06-30 00:00:00,1990,HAMILTON,LEE,HERBERT,GEN,DEMOCRAT,107526.0,155851,True
96,INDIANA,10,Challenger,8023,2925,0,5000,2398,5624,5000,1990-06-30 00:00:00,1990,HORVATH,JANOS,,GEN,REPUBLICAN,35049.0,104411,False
97,IOWA,1,Incumbent,54478,50454,0,0,40430,33403,0,1990-06-30 00:00:00,1990,LEACH,JIM,,GEN,REPUBLICAN,90042.0,90193,True
98,IOWA,2,Open,248390,55156,179308,2891,212502,37879,9934,1990-06-30 00:00:00,1990,TABOR,ERIC,J,GEN,DEMOCRAT,81008.0,166106,False
99,IOWA,3,Incumbent,246904,69876,173101,0,192894,68265,15896,1990-06-30 00:00:00,1990,NAGLE,DAVID,,GEN,DEMOCRAT,100947.0,101780,True
100,IOWA,4,Incumbent,131113,8884,90200,0,34685,361010,0,1990-06-30 00:00:00,1990,SMITH,NEAL,,GEN,DEMOCRAT,127812.0,130590,True
101,IOWA,5,Incumbent,359337,264236,80651,0,246942,173977,0,1990-06-30 00:00:00,1990,LIGHTFOOT,JIM,ROSS,GEN,REPUBLICAN,99978.0,147012,True
102,IOWA,6,Challenger,5596,4496,0,1100,3697,1897,1100,1990-06-30 00:00:00,1990,EARLL,MIKE,,GEN,DEMOCRAT,44063.0,156459,False
103,KANSAS,2,Incumbent,263216,36600,213250,0,178072,175987,0,1990-06-30 00:00:00,1990,SLATTERY,JIM,,GEN,DEMOCRAT,99093.0,157745,True
104,KANSAS,2,Challenger,34439,27245,2000,0,9317,25121,0,1990-06-30 00:00:00,1990,MORGAN,SCOTT,ELLINGWOOD,GEN,REPUBLICAN,58643.0,157745,False
105,KANSAS,3,Incumbent,83293,32228,49479,0,69854,14001,0,1990-06-30 00:00:00,1990,MEYERS,JAN,MC,GEN,REPUBLICAN,88725.0,147726,True
106,KANSAS,3,Challenger,12095,2245,4850,5000,5423,6671,8679,1990-06-30 00:00:00,1990,JONES,LEROY,,GEN,DEMOCRAT,58923.0,147726,False
107,KANSAS,5,Open,17114,15514,0,1600,14035,3078,1600,1990-06-30 00:00:00,1990,WINGERT,GEORGE,D,GEN,DEMOCRAT,62244.0,152823,False
108,KENTUCKY,2,Incumbent,120,0,0,120,33,86,0,1990-06-30 00:00:00,1990,NATCHER,WILLIAM,H,GEN,DEMOCRAT,77057.0,116681,True
109,KENTUCKY,2,Challenger,6367,1865,1000,3452,6341,182,73807,1990-06-30 00:00:00,1990,TORI,MARTIN,A,GEN,REPUBLICAN,39624.0,116681,False
110,KENTUCKY,3,Incumbent,204199,179044,300,20000,229643,5243,20000,1990-06-30 00:00:00,1990,MAZZOLI,ROMANO,L,GEN,DEMOCRAT,84750.0,139938,True
111,KENTUCKY,4,Incumbent,344764,171057,147725,0,150306,322111,0,1990-06-30 00:00:00,1990,BUNNING,JIM,,GEN,REPUBLICAN,101680.0,146659,True
112,KENTUCKY,4,Challenger,18450,8160,0,10290,11219,7230,7258,1990-06-30 00:00:00,1990,MARTIN,GALEN,AFTON,GEN,DEMOCRAT,44979.0,146659,False
113,KENTUCKY,5,Incumbent,158909,77519,57150,0,89774,262308,0,1990-06-30 00:00:00,1990,ROGERS,HAROLD,,GEN,REPUBLICAN,64660.0,64660,True
114,KENTUCKY,6,Incumbent,147003,1260,70150,0,86608,669188,0,1990-06-30 00:00:00,1990,HOPKINS,LARRY,J U S REP,GEN,REPUBLICAN,76859.0,76859,True
115,KENTUCKY,7,Incumbent,214292,47310,166900,0,213163,9286,45564,1990-06-30 00:00:00,1990,PERKINS,CARL,CHRISTOPHER,GEN,DEMOCRAT,61330.0,120707,True
116,KENTUCKY,7,Challenger,67533,59314,500,2200,34838,35659,2500,1990-06-30 00:00:00,1990,SCOTT,WILLIAM,THOMPSON (WILL),GEN,REPUBLICAN,59377.0,120707,False
117,LOUISIANA,2,Open,14296,8296,0,6000,14115,181,7450,1990-06-30 00:00:00,1990,MORIAL,MARC,H,GEN,DEMOCRAT,50232.0,105853,False
118,LOUISIANA,6,Incumbent,295339,193317,95199,0,168883,143795,0,1990-06-30 00:00:00,1990,BAKER,RICHARD,HUGH,GEN,REPUBLICAN,1.0,1,True
119,LOUISIANA,7,Incumbent,254361,74425,105750,0,137247,157897,207000,1990-06-30 00:00:00,1990,HAYES,JAMES,A,GEN,DEMOCRAT,1.0,1,True
120,LOUISIANA,8,Incumbent,203497,111242,87050,0,71504,196279,0,1990-06-30 00:00:00,1990,HOLLOWAY,CLYDE,C,GEN,REPUBLICAN,1.0,1,True
121,MAINE,1,Open,235025,156145,33375,45400,202831,32194,74012,1990-06-30 00:00:00,1990,ANDREWS,THOMAS,H,GEN,DEMOCRAT,167623.0,278872,True
