,Congressional Candidate Table 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of House Campaigns,,,,,,,,,,,,
1,"January 1, 1999 through June 30, 2000",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"CALLAHAN, HERBERT L",Republican Party,Incumbent,222198,90925,127162,0,179526,221835,0,2000-06-30 00:00:00
5,Alabama,02,"EVERETT, TERRY",Republican Party,Incumbent,765316,157813,157450,450000,775991,180206,499373,2000-06-30 00:00:00
6,Alabama,02,"FONDREN, GERALD JOSEPH",Democratic Party,Challenger,6474,6220,0,254,5353,391,0,2000-06-30 00:00:00
7,Alabama,03,"RILEY, BOB",Republican Party,Incumbent,772874,218130,290814,260130,583370,190139,56346,2000-06-30 00:00:00
8,Alabama,04,"ADERHOLT, ROBERT BROWN",Republican Party,Incumbent,1180232,537640,418492,200000,338711,890626,200000,2000-06-30 00:00:00
9,Alabama,04,"FOLSOM, MARSHA GUTHRIE",Democratic Party,Challenger,850259,512086,224250,100050,223054,641793,100050,2000-06-30 00:00:00
10,Alabama,05,"CRAMER, ROBERT E ""BUD""",Democratic Party,Incumbent,1022540,577719,409736,0,338682,736751,0,2000-06-30 00:00:00
11,Alabama,06,"BACHUS, SPENCER T III",Republican Party,Incumbent,455536,223446,187597,0,365284,233690,0,2000-06-30 00:00:00
12,Alabama,07,"HILLIARD, EARL FREDERICK",Democratic Party,Incumbent,331371,68193,100700,51350,337382,3719,37650,2000-06-30 00:00:00
13,Alabama,07,"BETHUNE, MILTON R",Republican Party,Challenger,4672,0,0,4572,4711,9,45733,2000-06-30 00:00:00
14,Alabama,07,"DAVIS, ARTUR GENESTRE",Democratic Party,Challenger,83267,57817,7000,18450,85183,0,50892,2000-06-30 00:00:00
15,Alabama,07,"MARTIN, ED",Republican Party,Challenger,4070,3000,0,1070,3099,970,500,2000-06-30 00:00:00
16,Alabama,07,"SOWELL, MIRKO DEWAYNE",Democratic Party,Challenger,4625,0,0,4625,4688,27,0,2000-06-30 00:00:00
17,Alaska,00,"YOUNG, DONALD",Republican Party,Incumbent,913072,440142,464026,0,575862,350775,0,2000-06-30 00:00:00
18,Alaska,00,"VONDERSAAR, FRANK J",Democratic Party,Challenger,775,0,0,700,697,77,700,2000-06-30 00:00:00
19,American Samoa,00,"FALEOMAVAEGA, ENI F H",Democratic Party,Incumbent,3600,3000,0,0,3478,3036,16737,2000-06-30 00:00:00
20,Arizona ,01,"DICICCIO, SALVATORE A",Republican Party,Open,284030,258348,24228,0,117240,166790,0,2000-06-30 00:00:00
21,Arizona ,01,"FLAKE, JEFFRY LANE",Republican Party,Open,310857,295907,13700,1000,221196,96900,0,2000-06-30 00:00:00
22,Arizona ,01,"LIDDY, THOMAS PURCELL",Republican Party,Open,337319,292005,5500,38151,247195,90122,38151,2000-06-30 00:00:00
23,Arizona ,01,"MENDOZA, DAVID ARMIJO",Democratic Party,Open,26272,2772,23500,0,7342,20036,0,2000-06-30 00:00:00
24,Arizona ,01,"SMITH, SUSAN BITTER",Republican Party,Open,247365,155794,42646,48825,147956,102050,36153,2000-06-30 00:00:00
25,Arizona ,02,"PASTOR, EDWARD L",Democratic Party,Incumbent,470050,166421,293550,0,210358,489391,0,2000-06-30 00:00:00
26,Arizona ,02,"BARENHOLTZ, BILL",Republican Party,Challenger,47350,45350,0,2000,42965,4854,4500,2000-06-30 00:00:00
27,Arizona ,03,"STUMP, BOB",Republican Party,Incumbent,224895,99615,122579,0,133767,166794,0,2000-06-30 00:00:00
28,Arizona ,03,"SCHARER, GENE PAUL",Democratic Party,Challenger,3045,1475,0,1330,2960,85,240,2000-06-30 00:00:00
29,Arizona ,04,"SHADEGG, JOHN BARDEN",Republican Party,Incumbent,481955,210249,240068,0,222803,327797,0,2000-06-30 00:00:00
30,Arizona ,05,"KOLBE, JAMES T",Republican Party,Incumbent,792631,418545,347286,0,520616,364986,0,2000-06-30 00:00:00
31,Arizona ,05,"CUNNINGHAM, GEORGE",Democratic Party,Challenger,205034,144380,10000,48600,73344,131690,0,2000-06-30 00:00:00
