,Congressional Candidate Table 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of House Campaigns,,,,,,,,,,,,
1,"January 1, 1991 - June 30, 1992",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"CALLAHAN, HERBERT L",Republican Party,Incumbent,244768,94030,135655,0,167710,313567,0,1992-06-30 00:00:00
5,Alabama,01,"BREWER, WILLIAM A",Democratic Party,Challenger,6075,1395,0,4680,5933,141,4681,1992-06-30 00:00:00
6,Alabama,02,"BAGGIANO, FAYE S",Democratic Party,Open,262506,67927,107024,83370,240694,27258,900,1992-06-30 00:00:00
7,Alabama,02,"DIXON, LARRY DEAN",Republican Party,Open,105210,82210,23000,0,86100,19109,0,1992-05-27 00:00:00
8,Alabama,02,"LEE, LARRY",Democratic Party,Open,71866,49036,0,21829,71011,855,22532,1992-06-30 00:00:00
9,Alabama,02,"WALLACE, GEORGE C JR",Democratic Party,Open,342648,211632,82950,20000,342284,363,44686,1992-06-30 00:00:00
10,Alabama,03,"BROWDER, JOHN GLEN",Democratic Party,Incumbent,165939,80296,74350,0,52443,233408,0,1992-06-30 00:00:00
11,Alabama,03,"SLEDGE, ROLAND DONALD",Republican Party,Challenger,6224,985,17,5222,6087,137,3190,1992-06-30 00:00:00
12,Alabama,04,"BEVILL, TOM",Democratic Party,Incumbent,139564,27537,51100,0,210808,495256,0,1992-06-30 00:00:00
13,Alabama,04,"STRICKLAND, MARTHA CAROLYN",Republican Party,Challenger,8169,6580,0,1389,7798,370,1389,1992-06-30 00:00:00
14,Alabama,05,"CRAMER, ROBERT E (BUD) JR",Democratic Party,Incumbent,304233,138064,160875,0,225985,99017,25712,1992-06-30 00:00:00
15,Alabama,05,"SMITH, TERRY ALLEN",Republican Party,Challenger,7817,4807,0,3010,7263,553,2557,1992-06-30 00:00:00
16,Alabama,06,"ERDREICH, BENJAMIN L",Democratic Party,Incumbent,270015,67050,179200,0,173212,460827,0,1992-06-30 00:00:00
17,Alabama,06,"BACHUS, SPENCER THOMAS",Republican Party,Challenger,191523,163708,9810,18000,188393,3128,44956,1992-06-30 00:00:00
18,Alabama,06,"CONNORS, MARTIN J (MARTY) III",Republican Party,Challenger,136610,106360,250,30000,122626,13982,30000,1992-06-10 00:00:00
19,Alabama,06,"GUNTER, JAMES L",Republican Party,Challenger,31505,26255,5000,2985,24592,7911,2985,1992-06-30 00:00:00
20,Alabama,06,"KING, MICHAEL ALLEN",Republican Party,Challenger,154175,126025,2980,25200,153629,543,150,1992-06-30 00:00:00
21,Alabama,07,"HILLIARD, EARL FREDERICK",Democratic Party,Open,182460,107789,52750,10921,191164,-8695,13890,1992-06-30 00:00:00
22,Alabama,07,"KNIGHT, JOHN F JR",Democratic Party,Open,142886,90207,9500,42590,142757,128,73306,1992-06-30 00:00:00
23,Alabama,07,"MCCLAIN, EDWARD B",Democratic Party,Open,10029,5929,2000,2100,9312,716,0,1992-05-13 00:00:00
24,Alabama,07,"TAYLOR, SAM E",Democratic Party,Open,54842,11985,3500,23500,109736,-54886,13500,1992-05-20 00:00:00
25,Alabama,07,"THOMAS, JAMES LOUIS",Democratic Party,Open,21085,1530,5750,10200,22034,0,14287,1992-05-13 00:00:00
26,Alaska,00,"YOUNG, DON",Republican Party,Incumbent,419919,218809,179567,0,404898,20564,9419,1992-06-30 00:00:00
27,Alaska,00,"DEVENS, JOHN S",Democratic Party,Challenger,201748,121579,28798,47786,193919,11133,85774,1992-06-30 00:00:00
28,Alaska,00,"RODEY, PATRICK M",Democratic Party,Challenger,23400,1000,0,22400,22889,510,23400,1992-06-30 00:00:00
29,American Samoa,00,"FALEOMAVAEGA, ENI F H",Democratic Party,Challenger,17181,5831,9700,344,14031,9091,16065,1992-06-30 00:00:00
30,Arizona ,01,"RHODES, JOHN JACOB III",Republican Party,Incumbent,215432,107198,105230,0,164583,60469,0,1992-06-30 00:00:00
31,Arizona ,01,"BARNES, STANLY OSCAR JR",Republican Party,Challenger,61826,54536,3490,0,33114,28711,0,1992-06-30 00:00:00
32,Arizona ,01,"LINCOLN, JOHN CRANDALL",Republican Party,Challenger,4497,2035,0,2462,4050,446,7842,1992-06-30 00:00:00
33,Arizona ,01,"MUNDELL, WILLIAM A",Republican Party,Challenger,35595,28245,4350,3000,32040,3553,1500,1992-06-30 00:00:00
34,Arizona ,02,"CONNER, EARL PATRICK",Republican Party,Open,153466,108409,18827,499,153467,0,0,1992-06-30 00:00:00
35,Arizona ,02,"GLASSER, ELLIOTT",Republican Party,Open,11654,1380,0,10274,11654,0,0,1991-12-31 00:00:00
36,Arizona ,02,"KAITES, JOHN PETER",Republican Party,Open,38438,33712,240,3900,38206,230,20424,1992-06-30 00:00:00
37,Arizona ,02,"RODRIGUEZ, ALBERT F",Republican Party,Open,5134,4508,0,616,4171,863,616,1991-07-24 00:00:00
38,Arizona ,02,"VOLGY, THOMAS JOHN",Democratic Party,Open,112534,97910,0,14287,112535,0,10954,1991-12-31 00:00:00
39,Arizona ,02,"YRUN, VIRGINIA L",Democratic Party,Open,203430,166802,30393,5300,203286,143,5300,1992-06-30 00:00:00
40,Arizona ,02,"PASTOR, EDWARD L",Democratic Party,Incumbent,781772,439600,267310,0,765022,16748,0,1992-06-30 00:00:00
41,Arizona ,03,"STUMP, BOB",Republican Party,Incumbent,168133,63462,94065,0,102508,179276,0,1992-06-30 00:00:00
42,Arizona ,03,"HARTSTONE, ROGER DAVID",Democratic Party,Challenger,58183,13995,43800,0,48557,10008,0,1992-06-30 00:00:00
43,Arizona ,04,"KYL, JON L",Republican Party,Incumbent,532262,371573,122438,611,247693,620270,0,1992-06-30 00:00:00
44,Arizona ,04,"ZALER, ARNOLD",Democratic Party,Challenger,50056,14056,0,36000,50055,0,0,1992-06-30 00:00:00
45,Arizona ,05,"KOLBE, JAMES T",Republican Party,Incumbent,226724,141476,74900,0,151765,156046,0,1992-06-30 00:00:00
46,Arizona ,05,"SWEENEY, JOSEPH D",Unknown,Challenger,800,250,0,550,800,0,0,1992-06-30 00:00:00
47,Arizona ,05,"TOEVS, JIM",Democratic Party,Challenger,36815,22329,0,14486,33294,3520,12486,1992-06-30 00:00:00
48,Arizona ,06,"ENGLISH, KARAN L",Democratic Party,Open,32238,18429,7190,2000,29466,2771,2000,1992-06-30 00:00:00
49,Arizona ,06,"FREESTONE, THOMAS LAWRENCE",Republican Party,Open,19370,18870,500,0,16809,2559,0,1992-06-30 00:00:00
50,Arizona ,06,"MEYER, MICHAEL F",Republican Party,Open,40488,39967,500,0,30217,10271,0,1992-06-30 00:00:00
51,Arizona ,06,"STEPHENS, ALAN J",Democratic Party,Open,36466,25891,9600,0,17793,18722,0,1992-06-30 00:00:00
52,Arizona ,06,"WEAD, ROY DOUGLAS",Republican Party,Open,168454,90783,0,77630,98115,70338,86324,1992-06-30 00:00:00
53,Arkansas,01,"ALEXANDER, WILLIAM VOLLIE JR",Democratic Party,Incumbent,448544,197655,229866,0,446776,6533,11239,1992-06-30 00:00:00
54,Arkansas,01,"HAYES, TERRY OWEN",Republican Party,Challenger,14695,9850,0,2500,7409,4985,0,1992-06-30 00:00:00
55,Arkansas,01,"HUNTER, SCOTT",Democratic Party,Challenger,15970,9034,0,6936,15970,0,0,1992-03-05 00:00:00
56,Arkansas,01,"LAMBERT, BLANCHE MEYERS",Democratic Party,Challenger,127435,104396,16950,4000,94540,32895,0,1992-06-30 00:00:00
57,Arkansas,02,"THORNTON, RAY",Democratic Party,Incumbent,159521,73985,79050,0,89581,88577,0,1992-06-30 00:00:00
58,Arkansas,02,"SCOTT, DENNIS D",Republican Party,Challenger,4150,1650,0,0,2542,1607,2500,1992-04-30 00:00:00
59,Arkansas,03,"BARCLAY, RICHARD L",Republican Party,Open,206183,153623,29256,21000,195900,10282,21908,1992-06-30 00:00:00
60,Arkansas,03,"HARRISON, BILL",Democratic Party,Open,81293,27566,0,53400,73912,7439,50000,1992-06-30 00:00:00
61,Arkansas,03,"HUTCHINSON, YOUNG TIM",Republican Party,Open,108929,100629,7250,0,100088,8840,0,1992-06-30 00:00:00
62,Arkansas,03,"IVY, DANNY CHRIS",Democratic Party,Open,29849,2709,0,27105,29588,69,1663,1992-06-30 00:00:00
63,Arkansas,03,"NELMS, DON",Democratic Party,Open,224752,11555,2600,210288,222800,1952,210103,1992-06-30 00:00:00
64,Arkansas,03,"PENCE, E DRYDEN III",Republican Party,Open,168933,67028,500,101015,169916,2146,40487,1992-06-30 00:00:00
65,Arkansas,03,"VANWINKLE, JOHN R",Democratic Party,Open,170130,77566,48550,43258,159370,10901,37288,1992-06-30 00:00:00
66,Arkansas,04,"ANTHONY, BERYL FRANKLIN JR",Democratic Party,Incumbent,898941,253331,593178,0,1146274,117330,0,1992-06-30 00:00:00
67,Arkansas,04,"DICKEY, JAY WOODSON JR",Republican Party,Challenger,39154,33633,0,5500,22203,16949,11257,1992-06-30 00:00:00
68,Arkansas,04,"MCCUEN, WILLIAM JAMES",Democratic Party,Challenger,201522,76889,92700,31548,188373,13146,0,1992-06-30 00:00:00
69,Arkansas,04,"PAPPAS, PAT GUS",Democratic Party,Challenger,23499,23450,0,0,23499,0,0,1992-06-30 00:00:00
70,California ,01,"RIGGS, FRANK DUNCAN",Republican Party,Incumbent,395626,269872,113894,0,382528,12501,97190,1992-06-30 00:00:00
71,California ,01,"BALDWIN, PHIL",Unknown,Challenger,5928,3669,0,2119,5660,268,325,1992-06-30 00:00:00
72,California ,01,"HAMBURG, DANIEL EUGENE",Democratic Party,Challenger,219469,166952,38000,10000,200983,18485,14828,1992-06-30 00:00:00
73,California ,02,"HERGER, WALTER WILLIAM (WALLY) JR",Republican Party,Incumbent,466546,293403,152139,0,361632,219774,0,1992-06-30 00:00:00
74,California ,02,"KUNELIS, STEVEN MICHAEL",Republican Party,Challenger,6500,350,0,6150,6704,0,0,1992-06-02 00:00:00
75,California ,03,"FAZIO, VICTOR H",Democratic Party,Incumbent,1070960,374711,663478,0,450850,815044,18178,1992-06-30 00:00:00
76,California ,03,"CONNELLY, LLOYD GEORGE",Democratic Party,Challenger,41371,19231,640,0,62750,0,0,1991-09-16 00:00:00
77,California ,03,"RICHARDSON, HUBERT L",Republican Party,Challenger,355799,306480,15650,23338,321189,34609,11138,1992-06-30 00:00:00
78,California ,04,"DOOLITTLE, JOHN T",Republican Party,Incumbent,307364,207562,96225,0,248441,71067,19277,1992-06-30 00:00:00
79,California ,04,"MALBERG, PATRICIA",Democratic Party,Challenger,69902,47963,26244,0,42509,30984,0,1992-06-30 00:00:00
80,California ,05,"MATSUI, ROBERT T",Democratic Party,Incumbent,531347,147796,283335,0,1016116,664003,0,1992-06-30 00:00:00
81,California ,05,"BERGERON, JAN LOUIS",Unknown,Challenger,3748,142,0,3606,3219,510,0,1992-06-30 00:00:00
82,California ,05,"DINSMORE, ROBERT S",Republican Party,Challenger,16899,8037,16,8070,17582,-676,5825,1992-06-30 00:00:00
83,California ,06,"COYLE, DEREK",Republican Party,Open,38381,7196,0,31186,38506,479,938,1992-06-30 00:00:00
84,California ,06,"FILANTE, WILLIAM J MD",Republican Party,Open,284168,206492,75812,0,262616,21551,8093,1992-06-30 00:00:00
85,California ,06,"HEATER, CLAUDE LEWIS",Republican Party,Open,45278,2646,0,43541,45287,9,0,1992-06-30 00:00:00
86,California ,06,"JOHNSTON, JOHN BENNETT III",Democratic Party,Open,569324,371894,197415,0,566836,2488,49196,1992-06-30 00:00:00
87,California ,06,"KOENIGSHOFER, ERIC JOSEF",Democratic Party,Open,142337,65895,215,54500,141652,685,75553,1992-06-30 00:00:00
88,California ,06,"NATION, JOSEPH EDWARD",Democratic Party,Open,128041,65492,1500,47388,127394,646,35333,1992-06-30 00:00:00
89,California ,06,"NEVENIC, ANNA",Democratic Party,Open,35299,2099,0,33200,12450,22848,31700,1992-06-03 00:00:00
90,California ,06,"RENNE, LOUISE",Democratic Party,Open,273113,157054,9125,95000,273268,0,0,1992-04-08 00:00:00
91,California ,06,"RICE, DENIS T",Democratic Party,Open,306347,201309,2270,100017,305541,806,138692,1992-06-30 00:00:00
92,California ,06,"SPOTSWOOD, RICHARD D",Democratic Party,Open,110580,57371,1750,50655,110581,0,0,1992-03-31 00:00:00
93,California ,06,"STRAND, DAVID N",Democratic Party,Open,188825,131150,1000,55916,187343,1483,54412,1992-06-30 00:00:00
94,California ,06,"WOOLSEY, LYNN",Democratic Party,Open,125121,81764,9757,33500,121410,4710,63603,1992-06-30 00:00:00
