,Congressional Candidate Table 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of House Campaigns,,,,,,,,,,,,
1,"January 1, 1995 - June 30, 1996",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"CALLAHAN, HERBERT L",Republican Party,Incumbent,182001,60735,105950,0,139821,194513,0,1996-06-30 00:00:00
5,Alabama,01,"WOMACK, DON",Democratic Party,Challenger,47997,13850,32800,0,8817,39283,23023,1996-06-30 00:00:00
6,Alabama,02,"EVERETT, TERRY",Republican Party,Incumbent,361333,216086,133256,0,441783,93592,670373,1996-06-30 00:00:00
7,Alabama,02,"GAINES, ROBERT E (BOB)",Democratic Party,Challenger,101028,63008,22000,10020,18666,82343,10000,1996-06-30 00:00:00
8,Alabama,03,"COMER, BRAXTON BRAGG II",Republican Party,Open,416376,50876,1000,184500,412422,3951,364500,1996-06-30 00:00:00
9,Alabama,03,"DIAL, GERALD OSCAR",Democratic Party,Open,161542,97198,59000,5344,131948,5441,0,1996-06-30 00:00:00
10,Alabama,03,"FITE, LEAMON M JR",Democratic Party,Open,9456,0,0,9456,9456,0,8533,1996-06-10 00:00:00
11,Alabama,03,"HAGANS, RICK",Republican Party,Open,10898,8501,250,1647,10083,814,4000,1996-06-30 00:00:00
12,Alabama,03,"HAND, BENNY C",Republican Party,Open,22413,15267,1500,4145,24945,1246,23945,1996-05-15 00:00:00
13,Alabama,03,"RILEY, ROBERT R",Republican Party,Open,325875,101817,41700,180358,325288,585,187211,1996-06-30 00:00:00
14,Alabama,03,"SEXTON, WILLIAM JACK",Republican Party,Open,44704,31653,1250,11801,44291,305,11802,1996-06-30 00:00:00
15,Alabama,03,"SLEDGE, ROLAND DONALD",Republican Party,Open,28525,5525,0,23000,21749,6775,23000,1996-05-15 00:00:00
16,Alabama,03,"WILLIS, GERALD",Democratic Party,Open,179135,27635,1500,150000,178278,855,150000,1996-06-30 00:00:00
17,Alabama,04,"ADERHOLT, ROBERT BROWN",Republican Party,Open,160162,105967,7000,47195,157738,2422,46500,1996-06-30 00:00:00
18,Alabama,04,"BRANHAM, JOSEPH RONALD",Republican Party,Open,15313,400,0,14913,15313,0,0,1996-06-04 00:00:00
19,Alabama,04,"CAMP, BILLY JOE",Democratic Party,Open,400709,149140,24500,207000,387304,2352,161938,1996-06-30 00:00:00
20,Alabama,04,"DAVIDSON, CHARLES OWEN",Republican Party,Open,48200,37700,7500,3000,47796,402,0,1996-06-30 00:00:00
21,Alabama,04,"GUESS, BARRY MACKLIN",Republican Party,Open,34618,27935,0,6500,33636,989,6500,1996-06-30 00:00:00
22,Alabama,04,"HAWK, HOWARD GRIFFITH",Democratic Party,Open,109545,79330,13850,16165,108979,566,3165,1996-06-30 00:00:00
23,Alabama,04,"HESTER, JERRY",Democratic Party,Open,38592,28722,700,9170,36915,1678,2500,1996-06-30 00:00:00
24,Alabama,04,"MOSELEY, MILLEDGE COLEMAN ""MICKEY"" III",Republican Party,Open,17346,17195,0,100,13639,3706,0,1996-05-15 00:00:00
25,Alabama,04,"RICH, KERRY",Republican Party,Open,57718,25458,5000,27000,57059,657,6106,1996-06-30 00:00:00
26,Alabama,04,"WILSON, ROBERT T JR",Democratic Party,Open,601729,94485,41000,466244,592461,9266,243452,1996-06-30 00:00:00
27,Alabama,05,"CRAMER, ROBERT E ""BUD"" JR",Democratic Party,Incumbent,506857,259184,232800,0,212379,302361,0,1996-06-30 00:00:00
28,Alabama,05,"BURTON, CHARLES HERBERT",Republican Party,Challenger,10170,8370,0,800,9345,824,1860,1996-06-30 00:00:00
29,Alabama,05,"MCINNISH, HUGH",Republican Party,Challenger,63469,58458,5000,0,61485,3043,15493,1996-06-30 00:00:00
30,Alabama,05,"PARKER, WAYNE JR",Republican Party,Challenger,429919,391970,8100,2000,281297,155171,0,1996-06-30 00:00:00
31,Alabama,06,"BACHUS, SPENCER T III",Republican Party,Incumbent,212700,104708,93171,0,152547,205871,0,1996-06-30 00:00:00
32,Alabama,06,"BATES, MARY LYNN DOVITH",Democratic Party,Challenger,14233,10376,0,200,4430,9802,0,1996-06-30 00:00:00
33,Alabama,07,"HILLIARD, EARL FREDERICK",Democratic Party,Incumbent,138953,23295,91750,18862,137494,6798,44235,1996-05-15 00:00:00
34,Alabama,07,"BETHUNE, MILTON R",Republican Party,Challenger,24313,4045,0,14500,24946,139,26500,1996-06-30 00:00:00
35,Alabama,07,"JONES, KERVIN",Republican Party,Challenger,9269,9069,0,0,8932,336,0,1996-05-15 00:00:00
36,Alabama,07,"POWELL, JOSEPH EDWARD",Republican Party,Challenger,102018,68619,300,30674,99328,2689,31777,1996-06-30 00:00:00
37,Alabama,07,"WALKER, CLIFF",Republican Party,Challenger,29727,14190,13500,2000,19346,10380,2651,1996-06-13 00:00:00
38,Alaska,00,"YOUNG, DONALD E",Republican Party,Incumbent,700419,293935,384011,0,445679,287518,0,1996-06-30 00:00:00
39,Alaska,00,"LINCOLN, GEORGIANNA",Democratic Party,Challenger,93029,88479,2050,2500,63806,29223,12479,1996-06-30 00:00:00
40,Alaska,00,"WHITMORE, JONI LEE",Democratic Party,Challenger,22514,21770,0,55,22336,524,2072,1996-06-30 00:00:00
41,American Samoa,00,"FALEOMAVAEGA, ENI F H",Democratic Party,Incumbent,7675,7530,0,0,8983,357,14920,1996-06-30 00:00:00
42,American Samoa,00,"COLEMAN, AUMUA AMATA",Republican Party,Challenger,4222,3075,0,0,8568,1737,0,1996-06-30 00:00:00
43,Arizona ,01,"SALMON, MATTHEW JAMES",Republican Party,Incumbent,372848,197287,167837,0,223947,179501,350,1996-06-30 00:00:00
44,Arizona ,02,"PASTOR, EDWARD LOPEZ",Democratic Party,Incumbent,269982,106250,139275,0,110950,211659,0,1996-06-30 00:00:00
45,Arizona ,02,"BUSTER, JIM",Republican Party,Challenger,16085,15335,750,0,4142,11942,0,1996-06-30 00:00:00
46,Arizona ,02,"FLOREZ, VIDA ZOE",Republican Party,Challenger,23243,12297,55,10889,16667,6637,1850,1996-06-30 00:00:00
47,Arizona ,03,"STUMP, BOB",Republican Party,Incumbent,209624,102645,103150,0,95569,194767,0,1996-06-30 00:00:00
48,Arizona ,03,"SCHNEIDER, ALEXANDER G SR",Democratic Party,Challenger,15785,8785,0,7000,5230,10554,19748,1996-06-30 00:00:00
49,Arizona ,04,"SHADEGG, JOHN BARDEN",Republican Party,Incumbent,339366,215261,121252,450,152375,199414,12890,1996-06-30 00:00:00
50,Arizona ,04,"TURNANSKY, STUART MICHAEL",Democratic Party,Challenger,6842,5842,0,1000,3985,2856,5167,1996-06-30 00:00:00
51,Arizona ,05,"KOLBE, JAMES THOMAS",Republican Party,Incumbent,328414,191444,126750,0,197048,171400,0,1996-06-30 00:00:00
52,Arizona ,06,"HAYWORTH, J D",Republican Party,Incumbent,707693,437643,244910,0,340329,378250,1000,1996-06-30 00:00:00
53,Arizona ,06,"HUSK, GARY ANTHONY",Republican Party,Challenger,323,0,0,0,917,0,0,1995-12-31 00:00:00
54,Arizona ,06,"OWENS, STEVE",Democratic Party,Challenger,413612,329381,78235,1708,113481,300129,3376,1996-06-30 00:00:00
55,Arkansas,01,"BERRY, ROBERT MARION",Democratic Party,Open,295949,203996,40035,50000,293250,2698,55000,1996-06-30 00:00:00
56,Arkansas,01,"DONALDSON, THOMAS F JR",Democratic Party,Open,120922,107717,2000,11050,116794,4128,20589,1996-06-30 00:00:00
57,Arkansas,01,"DUPWE, WARREN E",Republican Party,Open,203218,190807,5500,3259,64634,139337,0,1996-06-30 00:00:00
58,Arkansas,01,"SMITH, KIRBY JOE",Democratic Party,Open,54166,20292,22075,11141,54166,0,0,1996-05-31 00:00:00
59,Arkansas,02,"COON, KENNETH L SR",Republican Party,Open,40786,35786,0,5000,36913,3873,5000,1996-05-01 00:00:00
60,Arkansas,02,"CUMMINS, H E ""BUD""",Republican Party,Open,243308,181028,2750,59280,195219,48086,55000,1996-06-30 00:00:00
61,Arkansas,02,"EDWARDS, JOHN CHARLES",Democratic Party,Open,125602,114302,4250,6650,122838,2761,0,1996-06-30 00:00:00
62,Arkansas,02,"KLOTE, JAMES DENVER",Republican Party,Open,49836,49770,0,0,38013,11823,0,1996-05-01 00:00:00
63,Arkansas,02,"MELTON, DONALD RAY",Republican Party,Open,16813,11230,0,5363,16812,0,0,1996-06-30 00:00:00
64,Arkansas,02,"POWELL, WILLIAM E",Republican Party,Open,14939,14832,0,0,17595,339,0,1996-05-31 00:00:00
65,Arkansas,02,"SNYDER, VICTOR FREDERICK",Democratic Party,Open,324009,259760,63749,0,321699,2308,0,1996-06-30 00:00:00
66,Arkansas,02,"SPARKS, BARTON C",Democratic Party,Open,6757,6175,0,500,6684,73,0,1995-12-01 00:00:00
67,Arkansas,02,"STODOLA, MARK",Democratic Party,Open,376788,274126,51450,0,334376,42410,55305,1996-06-30 00:00:00
68,Arkansas,03,"DAVIS, BOYCE RAY",Democratic Party,Open,20769,11802,0,5617,19908,860,9070,1996-06-30 00:00:00
69,Arkansas,03,"HUTCHINSON, WILLIAM ASA",Republican Party,Open,26303,11303,0,15000,11856,9573,15000,1996-06-30 00:00:00
70,Arkansas,04,"DICKEY, JAY W JR",Republican Party,Incumbent,521158,508478,0,0,218993,305721,0,1996-06-30 00:00:00
71,Arkansas,04,"COPLEY, STEPHEN JEAN",Democratic Party,Challenger,30741,9135,11000,10606,30724,26,2901,1996-06-30 00:00:00
72,California ,01,"RIGGS, FRANK DUNCAN",Republican Party,Incumbent,732427,474002,238451,0,432685,302237,2000,1996-06-30 00:00:00
73,California ,01,"ALIOTO, MICHELA A",Democratic Party,Challenger,560925,172883,85243,300000,464555,96368,314036,1996-06-30 00:00:00
74,California ,01,"BURTON, WILLIAM",Democratic Party,Challenger,13972,6745,0,7377,10837,3285,5813,1996-06-30 00:00:00
75,California ,01,"MARVIN, MONICA WOLF",Democratic Party,Challenger,337650,272028,39561,24610,337649,0,0,1996-06-30 00:00:00
76,California ,01,"SILVER, CAROL RUTH",Democratic Party,Challenger,64605,23597,0,39007,62469,2135,32885,1996-06-30 00:00:00
77,California ,02,"HERGER, WALTER WILLIAM (WALLY) JR",Republican Party,Incumbent,541572,262108,243381,0,316361,496302,0,1996-06-30 00:00:00
78,California ,02,"BRADEN, ROBERTS AUSTIN",Democratic Party,Challenger,114414,17084,5000,91357,49965,64448,65500,1996-06-30 00:00:00
79,California ,02,"KIDD, DEVVY",Republican Party,Challenger,2180,2180,0,0,6433,0,0,1996-04-02 00:00:00
80,California ,03,"FAZIO, VICTOR H",Democratic Party,Incumbent,1276267,445931,815358,0,560254,783290,28685,1996-06-30 00:00:00
81,California ,03,"LEFEVER, TIMOTHY J",Republican Party,Challenger,287908,216468,51439,9000,224120,65737,2671,1996-06-30 00:00:00
82,California ,03,"SCHAUPP, CHARLES EUGENE",Republican Party,Challenger,73196,49766,0,23818,72866,106,0,1996-06-30 00:00:00
83,California ,04,"DOOLITTLE, JOHN T",Republican Party,Incumbent,516912,371479,140650,0,297328,236079,1244,1996-06-30 00:00:00
84,California ,04,"HIRNING, KATHLEEN M",Democratic Party,Challenger,59923,30972,23182,3292,40603,21380,105408,1996-06-30 00:00:00
