,Congressional Candidate Table 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of House Campaigns,,,,,,,,,,,,
1,"January 1, 1997 - June 30, 1998",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"CALLAHAN, HERBERT L",Republican Party,Incumbent,304005,148201,135300,0,183987,208141,0,1998-06-30 00:00:00
5,Alabama,02,"EVERETT, R TERRY",Republican Party,Incumbent,280720,158763,120500,0,134805,154370,675665,1998-06-30 00:00:00
6,Alabama,02,"FONDREN, GERALD JOSEPH",Democratic Party,Challenger,6564,3160,0,2904,6125,439,0,1998-06-30 00:00:00
7,Alabama,03,"RILEY, BOB",Republican Party,Incumbent,1439567,325310,392460,695000,993985,445581,196410,1998-06-30 00:00:00
8,Alabama,03,"TURNHAM, JOE",Democratic Party,Challenger,208735,128568,72450,0,78092,130643,0,1998-06-30 00:00:00
9,Alabama,04,"ADERHOLT, ROBERT",Republican Party,Incumbent,1000938,494152,366294,125000,481490,535376,125000,1998-06-30 00:00:00
10,Alabama,04,"BEVILL, DONALD H",Democratic Party,Challenger,260975,186971,22000,32000,255520,5453,48000,1998-06-30 00:00:00
11,Alabama,04,"WILSON, ROBERT T (BOB) JR",Democratic Party,Challenger,503347,48154,13500,438237,500839,2903,529689,1998-06-30 00:00:00
12,Alabama,05,"CRAMER, ROBERT E ""BUD""",Democratic Party,Incumbent,734208,431761,293900,0,314057,430801,0,1998-06-30 00:00:00
13,Alabama,05,"AUST, GILBERT MONROE JR",Republican Party,Challenger,446399,399791,28050,1239,341406,104992,14622,1998-06-30 00:00:00
14,Alabama,05,"DIXON, HERBERT MAHLON",Republican Party,Challenger,26541,310,0,25120,25856,685,30121,1998-06-30 00:00:00
15,Alabama,06,"BACHUS, SPENCER T III",Republican Party,Incumbent,428068,230742,181066,0,314938,211609,0,1998-06-30 00:00:00
16,Alabama,06,"HARRIS, GEORGE",Democratic Party,Challenger,84428,77756,2000,0,60026,24400,0,1998-06-30 00:00:00
17,Alabama,06,"SMALLEY, DONNA WESSON",Democratic Party,Challenger,10526,7940,0,0,7152,3373,0,1998-06-30 00:00:00
18,Alabama,07,"HILLIARD, EARL FREDERICK",Democratic Party,Incumbent,137725,10850,46500,5525,146117,512,15872,1998-06-30 00:00:00
19,Alaska,00,"YOUNG, DONALD",Republican Party,Incumbent,854940,411309,429706,0,569850,312303,0,1998-06-30 00:00:00
20,Alaska,00,"DUNCAN, JIM (JAMES W DUNCAN)",Democratic Party,Challenger,321841,272575,36050,1000,139255,182585,11308,1998-06-30 00:00:00
21,Alaska,00,"PECHEK, STU",Democratic Party,Challenger,29978,22956,0,6771,28351,1626,6002,1998-06-30 00:00:00
22,American Samoa,00,"FALEOMAVAEGA, ENI F H",Democratic Party,Incumbent,8962,3975,1500,2587,10460,5121,21651,1998-06-30 00:00:00
23,Arizona ,01,"SALMON, MATTHEW J",Republican Party,Incumbent,259663,142953,115139,0,215294,113734,0,1998-06-30 00:00:00
24,Arizona ,01,"COX, JOHN ALBERT",Democratic Party,Challenger,0,0,0,0,2436,0,0,1997-06-30 00:00:00
25,Arizona ,02,"PASTOR, EDWARD LOPEZ",Democratic Party,Incumbent,292792,132134,148897,0,171171,255089,0,1998-06-30 00:00:00
