,Congressional Candidate Table 7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of 2016 House Campaigns,,,,,,,,,,,,
1,"January 1, 2015 - June 30, 2016",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"BYRNE, BRADLEY ROBERTS",Republican Party,Incumbent,1169472.77,436872.77,725450,0,974556.58,446515.03,0,2016-06-30 00:00:00
5,Alabama,01,"YOUNG JR, LARRY DEAN",Republican Party,Challenger,178766.88,19766.88,0,159000,178474.16,0,0,2016-04-14 00:00:00
6,Alabama,02,"ROBY, MARTHA",Republican Party,Incumbent,1237921.88,528371.88,709550,0,1333058,396590.12,0,2016-06-30 00:00:00
7,Alabama,02,"GERRITSON, REBECCA (BECKY)",Republican Party,Challenger,203494.67,179771.8,11500,10959.22,200735.68,2758.99,6014.33,2016-06-30 00:00:00
8,Alabama,02,"ROGERS, ROBERT L",Republican Party,Challenger,25382,0,0,25482,32492,0,0,2016-04-15 00:00:00
9,Alabama,03,"ROGERS, MICHAEL DENNIS",Republican Party,Incumbent,846462.37,321352,511000,0,852652.54,452648.33,0,2016-06-30 00:00:00
10,Alabama,03,"DICHIARA, LARRY",Republican Party,Challenger,64791.68,17718.04,0,47073.64,67148.66,-2356.98,53062.78,2016-03-09 00:00:00
11,Alabama,03,"SMITH, JESSE TREMAIN",Democratic Party,Challenger,7750,7750,0,3200,2443,3900,0,2016-06-30 00:00:00
12,Alabama,04,"ADERHOLT, ROBERT BROWN",Republican Party,Incumbent,1176759.26,408959.65,766658.73,0,1198715.01,396982.12,0,2016-06-30 00:00:00
13,Alabama,04,"NORRIS, PHILLIP",Republican Party,Challenger,3605.76,105,0,3500,3605.76,0,0,2016-06-24 00:00:00
14,Alabama,05,"BROOKS, MO",Republican Party,Incumbent,397159.84,192697,202100,0,65589.6,1146006.52,0,2016-06-30 00:00:00
15,Alabama,05,"BOYD, WILLIE ""WILL"" DR. JR.",Democratic Party,Challenger,31490.94,17426.76,8500,2640.98,29719.32,1771.62,2893.2,2016-06-30 00:00:00
16,Alabama,06,"PALMER, GARY",Republican Party,Incumbent,1092872.11,841810.52,237097.75,0,443088.41,839496.2,0,2016-06-30 00:00:00
17,Alabama,06,"PUTMAN, DAVID",Democratic Party,Challenger,20220.26,5044,0,15026,21110.62,-20.93,861.4,2016-06-30 00:00:00
18,Alabama,07,"SEWELL, TERRYCINA ANDREA",Democratic Party,Incumbent,1258166.42,299390.19,956600,0,758601.96,921028.18,0,2016-06-30 00:00:00
19,Alaska,00,"YOUNG, DONALD E",Republican Party,Incumbent,659208.31,409077.04,248203.99,0,507337.18,640091.25,0,2016-06-30 00:00:00
20,Alaska,00,"LINDBECK, STEVE",Democratic Party,Challenger,418771.14,392641.53,9074.61,17055,94112.22,324658.92,2000,2016-06-30 00:00:00
21,American Samoa,00,"AMATA, AUMUA",Republican Party,Incumbent,25050,25050,0,0,18802.1,10398.7,0,2016-06-30 00:00:00
22,Arizona ,01,"BABEU, PAUL RAYMOND",Republican Party,Open,628847.74,617329.35,11500,0,378203.28,250644.46,0,2016-06-30 00:00:00
23,Arizona ,01,"BEGAY, CARLYLE WILMER",Republican Party,Open,92261.09,79261.09,13000,0,67192.47,25068.62,0,2016-06-30 00:00:00
24,Arizona ,01,"BENNETT, KEN",Republican Party,Open,409968.1,328092.1,1000,80876,147883.51,262084.59,70000,2016-06-30 00:00:00
25,Arizona ,01,"GOWAN , DAVID MATTHEW SR",Republican Party,Open,364828.03,297828.03,67000,0,170885.65,193942.38,0,2016-06-30 00:00:00
26,Arizona ,01,"KIEHNE, GARY",Republican Party,Open,1050110.73,251895.5,0,798184.26,809839.59,245459.47,482072.14,2016-06-30 00:00:00
27,Arizona ,01,"MALNES, BRIAN EDWARD",Independent,Open,30000,0,0,30000,5000,25000,0,2016-04-15 00:00:00
28,Arizona ,01,"MALONEY, JAMES",Democratic Party,Open,94476.11,70471.11,0,24005,24030.06,70446.05,0,2016-06-30 00:00:00
29,Arizona ,01,"O'HALLERAN, TOM",Democratic Party,Open,791147.4,615163.74,170500,5283.66,298879.09,492268.31,0,2016-06-30 00:00:00
30,Arizona ,01,"REDD, SHAWN MR.",Republican Party,Open,23549,2725,0,20824,24170,17,20824,2016-06-30 00:00:00
31,Arizona ,01,"ROGERS, WENDY",Republican Party,Open,365959.01,352869.13,0,0,142541.57,277383.53,0,2016-06-30 00:00:00
32,Arizona ,02,"MCSALLY, MARTHA E. MS.",Republican Party,Incumbent,5068864.62,3825227.25,1001910,0,2972225.06,2565145.48,0,2016-06-30 00:00:00
33,Arizona ,02,"HEINZ, MATTHEW GERALD DR.",Democratic Party,Challenger,819648.02,644755.34,144651.12,30241.56,399759.75,419888.27,0,2016-06-30 00:00:00
34,Arizona ,02,"STEELE, VICTORIA L",Democratic Party,Challenger,196308.32,185071.72,7500,3736.6,139633.13,56675.19,2000,2016-06-30 00:00:00
35,Arizona ,03,"GRIJALVA, RAUL M",Democratic Party,Incumbent,489482.76,270283.61,217468,0,375588.41,149982.37,4015.59,2016-06-30 00:00:00
36,Arizona ,03,"VILLARREAL, JAMES",Democratic Party,Challenger,10633.02,4767,2700,0,10633.02,0,0,2016-05-10 00:00:00
37,Arizona ,04,"GOSAR, PAUL ANTHONY",Republican Party,Incumbent,391914.38,202617.34,189225,0,183710.37,321016.1,0,2016-06-30 00:00:00
38,Arizona ,04,"STRAUSS, RAYMOND JOHN",Republican Party,Challenger,94500.83,88700,5500,10,70092.87,24407.96,0,2016-06-30 00:00:00
39,Arizona ,04,"WEISSER, MIKEL",Democratic Party,Challenger,15716.45,15466.45,250,0,13477.48,4958,19013.87,2016-06-30 00:00:00
40,Arizona ,05,"BIGGS, ANDY",Republican Party,Open,353615.39,203115,50500,100000,114043.82,239571.57,100000,2016-06-30 00:00:00
41,Arizona ,05,"JONES, CHRISTINE",Republican Party,Open,416844.68,15990.94,0,400853.74,249011.88,167832.8,401341.24,2016-06-30 00:00:00
42,Arizona ,05,"MARTYN, BRYAN",Republican Party,Open,4965,4965,0,0,4965,0,0,2016-06-30 00:00:00
43,Arizona ,05,"OLSON, JUSTIN",Republican Party,Open,103820.81,29215.12,4500,70025,43696.74,60124.07,70000,2016-06-30 00:00:00
44,Arizona ,05,"STAPLEY, DONALD T",Republican Party,Open,300730.19,198730,2000,100000,115914.91,184815.28,100000,2016-06-30 00:00:00
45,Arizona ,06,"SCHWEIKERT, DAVID",Republican Party,Incumbent,588567.49,147459.35,205950,0,557386.9,68656.09,162918.62,2016-06-30 00:00:00
46,Arizona ,06,"WILLIAMSON, WALTER JOHN",Democratic Party,Challenger,5044.94,1244.94,0,3800,4551.68,821.82,11389.41,2016-06-30 00:00:00
47,Arizona ,07,"GALLEGO, RUBEN",Democratic Party,Incumbent,831330.04,467807.1,363500,0,469554.87,385937.8,2500,2016-06-30 00:00:00
48,Arizona ,07,"NUNEZ, EVANGELINE MARTINEZ",Republican Party,Challenger,10200,7500,0,2700,6603.37,3596.63,0,2016-06-30 00:00:00
49,Arizona ,08,"FRANKS, TRENT",Republican Party,Incumbent,257918.08,122217,135500,0,241998.74,21968.78,101100,2016-06-30 00:00:00
50,Arizona ,08,"ARMSTRONG-STONER, DEREK JAMES",Democratic Party,Challenger,16350.98,2000.98,0,11850,16350.98,0,0,2016-05-03 00:00:00
51,Arizona ,09,"SINEMA, KYRSTEN",Democratic Party,Incumbent,3173236.37,1676179.1,1385211.56,0,874843.16,2601507.97,0,2016-06-30 00:00:00
52,Arizona ,09,"AGRA, JOHN",Republican Party,Challenger,120041,109471,0,10000,14882.22,105158.78,10000,2016-06-30 00:00:00
53,Arizona ,09,"GILES, DAVID VICTOR",Republican Party,Challenger,186776.7,7656.21,0,179120.49,182002.97,4773.73,162563.98,2016-06-30 00:00:00
54,Arkansas,01,"CRAWFORD, ERIC ALAN RICK",Republican Party,Incumbent,564776.96,247003.63,317000,0,591007.2,371800.29,0,2016-06-30 00:00:00
55,Arkansas,02,"HILL, JAMES FRENCH",Republican Party,Incumbent,1730544.82,912774.94,727332.69,0,860517.56,919279.09,0,2016-06-30 00:00:00
56,Arkansas,02,"CURRY, DIANNE",Democratic Party,Challenger,25512.2,13412.26,0,10000,15604.4,281.86,0,2016-06-30 00:00:00
57,Arkansas,02,"OLREE, BROCK",Republican Party,Challenger,17995.97,448.1,0,17547.28,17780.08,215.89,15000,2016-03-31 00:00:00
58,Arkansas,03,"WOMACK, STEVE",Republican Party,Incumbent,683118.13,231895.07,451223.06,0,334369.07,1150983.72,0,2016-06-30 00:00:00
59,Arkansas,04,"WESTERMAN, BRUCE MR.",Republican Party,Incumbent,547462.26,264588.99,282860,0,324166.08,315497.59,0,2016-06-30 00:00:00
60,California ,01,"LAMALFA, DOUG",Republican Party,Incumbent,584739.26,278109.99,304875.99,0,605739.79,77067.57,2597.47,2016-06-30 00:00:00
61,California ,01,"MONTES, JOSEPH",Republican Party,Challenger,183582,124578,0,59000,176096.7,7485.3,59000,2016-06-30 00:00:00
62,California ,01,"REED, JAMES E",Democratic Party,Challenger,58307.79,28356.48,1000,26000,57228.78,1079.01,23500,2016-06-30 00:00:00
63,California ,01,"WRIGHT, DOUGLAS A.",Republican Party,Challenger,27709.03,21843,2700,0,27709.03,0,0,2016-05-10 00:00:00
64,California ,02,"HUFFMAN, JARED",Democratic Party,Incumbent,735863.54,409761.4,321961.48,0,574437.14,545978.69,8250,2016-06-30 00:00:00
65,California ,02,"MENSING, DALE KENNETH",Republican Party,Challenger,3423,2734,0,18,3316,142,0,2016-06-30 00:00:00
66,California ,02,"SCHRODE, ERIN AZARIA",Democratic Party,Challenger,58283.5,58076.5,0,0,59079.55,-26515.78,0,2016-06-30 00:00:00
67,California ,03,"GARAMENDI, JOHN",Democratic Party,Incumbent,783719.35,330431.11,451865.45,0,452675.03,508503.46,0,2016-06-30 00:00:00
68,California ,03,"CLEEK, N EUGENE MD",Republican Party,Challenger,350535.01,134623.85,0,210911.16,224314.53,126220.48,212199.15,2016-06-30 00:00:00
69,California ,03,"DETERT, RYAN",Republican Party,Challenger,10325.81,1482.59,0,8843.22,10325.81,0,0,2016-06-30 00:00:00
70,California ,04,"MCCLINTOCK, THOMAS",Republican Party,Incumbent,790423.5,713217.49,76194.45,0,698146.72,309375.47,0,2016-06-30 00:00:00
71,California ,04,"DERLET, ROBERT WAYNE",Democratic Party,Challenger,30852.1,22575.53,3600,1000,25906.2,4945.9,0,2016-06-30 00:00:00
72,California ,05,"THOMPSON, MIKE MR.",Democratic Party,Incumbent,1487180.86,564657.36,905845.06,0,1328243.67,1635118.87,18326.88,2016-06-30 00:00:00
73,California ,05,"PALSSON, NILS",Democratic Party,Challenger,10235.24,4585.24,0,0,8299.31,1935.93,16812.3,2016-06-30 00:00:00
74,California ,05,"SANTAMARIA, CARLOS J",Republican Party,Challenger,2700,2700,0,0,2352.74,347.26,0,2016-06-30 00:00:00
75,California ,06,"MATSUI, DORIS",Democratic Party,Incumbent,904927.98,266537.87,638129.5,0,637801.22,542360.77,1400,2016-06-30 00:00:00
76,California ,06,"EVANS, ROBERT S",Republican Party,Challenger,2805,2705,0,100,2350.67,454.33,100,2016-06-30 00:00:00
77,California ,07,"BERA, AMERISH",Democratic Party,Incumbent,2572192.02,1578254.69,981836.06,4591.42,1083488.82,1641209.53,319800,2016-06-30 00:00:00
78,California ,07,"JONES, SCOTT",Republican Party,Challenger,624272.09,476128.91,140353.87,0,224412.58,400375.71,23087.65,2016-06-30 00:00:00
79,California ,08,"COOK, PAUL",Republican Party,Incumbent,830697.27,302998,526341.19,0,768080.47,598839.44,1500,2016-06-30 00:00:00
80,California ,08,"DONNELLY, TIM",Republican Party,Challenger,76528.66,74895.15,1500,10,75808.25,720.41,13591.89,2016-06-30 00:00:00
81,California ,08,DR RITA RAMIREZ,Democratic Party,Challenger,17373.96,2319.31,0,14774.65,16706.61,667.35,14774.65,2016-05-18 00:00:00
82,California ,09,"MCNERNEY, JERRY",Democratic Party,Incumbent,896602.68,528579.51,366092.56,0,389986.29,653629.7,2954.15,2016-06-30 00:00:00
83,California ,09,"AMADOR, ANTONIO C",Republican Party,Challenger,23533.25,15340,0,8193.25,19979.44,5225.65,11449.59,2016-06-30 00:00:00
84,California ,09,"NANCE, KATHRYN D",Republican Party,Challenger,65248.32,60545.96,4599,100,65123.37,124.95,3586,2016-06-30 00:00:00
85,California ,10,"DENHAM, JEFF",Republican Party,Incumbent,2290987.46,766732.41,1392801.36,0,894671.11,2560746.68,0,2016-06-30 00:00:00
86,California ,10,"BARKLEY, MICHAEL JAMES",Democratic Party,Challenger,13098.93,82.6,0,12928.25,13335.58,344.17,32405.37,2016-06-30 00:00:00
87,California ,10,"EGGMAN, MICHAEL RAY",Democratic Party,Challenger,762475.6,562756,192274.96,0,303780.44,461783.86,0,2016-06-30 00:00:00
88,California ,11,"DESAULNIER, MARK",Democratic Party,Incumbent,469821.3,228819.37,237730,0,258751.04,231896.53,0,2016-06-30 00:00:00
89,California ,11,"PETERSEN, ROGER",Republican Party,Challenger,3225,3225,0,0,2812.2,412.8,0,2016-06-30 00:00:00
90,California ,12,"PELOSI, NANCY",Democratic Party,Incumbent,2767076.44,1588448.44,933354.27,0,2674715.49,1073520.88,0,2016-06-30 00:00:00
91,California ,12,"HERMANSON, BARRY",Green Party,Challenger,8958.83,200,0,8758.83,7430.36,1528.47,6258.83,2016-06-30 00:00:00
92,California ,12,"MILLER, ROBERT",Republican Party,Challenger,10905.38,5283,0,5622.38,10905.38,0,0,2016-06-30 00:00:00
93,California ,12,"PICUS, PRESTON",Independent,Challenger,20498.15,20498.15,0,0,11860.36,-2090.88,0,2016-06-30 00:00:00
94,California ,13,"LEE, BARBARA",Democratic Party,Incumbent,851065.81,596119.48,251490,0,798709.04,136047.37,4401.75,2016-06-30 00:00:00
95,California ,13,"CARO, SUZANNE M",Republican Party,Challenger,4150,3050,0,1100,3224.81,925.19,0,2016-06-30 00:00:00
96,California ,14,"SPEIER, JACKIE",Democratic Party,Incumbent,709983.72,460334.16,245130,0,487484.83,1499742.45,2977.31,2016-06-30 00:00:00
97,California ,14,"CARDENAS, ANGEL",Republican Party,Challenger,2924.87,2889.87,0,35,2878.07,46.8,35,2016-06-30 00:00:00
98,California ,15,"SWALWELL, ERIC MICHAEL",Democratic Party,Incumbent,1558991.3,909373.68,627672.37,0,981918.96,974577.15,4861.51,2016-06-30 00:00:00
99,California ,15,"TURNER, DANNY REID",Republican Party,Challenger,555,455,0,100,32.45,522.55,100,2016-06-30 00:00:00
100,California ,16,"COSTA, JIM MR.",Democratic Party,Incumbent,1273988.09,555525,710944.25,0,657036.1,1234959.5,0,2016-06-30 00:00:00
101,California ,16,"ROGERS, DAVID BRYAN",Republican Party,Challenger,242272.54,242272.54,0,0,242272.54,0,0,2016-06-30 00:00:00
102,California ,16,"TACHERRA, JOHNNY",Republican Party,Challenger,349648.08,335051.5,6750,4525,328775.37,22620.14,22697.65,2016-06-30 00:00:00
