,Congressional Candidate Table 7,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial Activity of 2018 House Campaigns,,,,,,,,,,,,
1,"January 1, 2017 - June 30, 2018",,,,,,,,,,,,
2,,,,,,,,,,,,,
3,State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
4,Alabama,01,"BYRNE, BRADLEY ROBERTS",Republican Party,Incumbent,1001925.17,200181.59,742250,0,533325.02,914918.48,0,2018-06-30 00:00:00
5,Alabama,01,"KENNEDY, ROBERT JR.",Democratic Party,Challenger,133664.39,13664.39,0,120000,17053.18,116611.21,120000,2018-06-30 00:00:00
6,Alabama,01,"MCCONNELL, LIZZETTA HILL",Democratic Party,Challenger,5127,5127,0,0,6021,-894,0,2018-06-30 00:00:00
7,Alabama,02,"ROBY, MARTHA",Republican Party,Incumbent,2186212.91,718837.48,1381291.24,0,1500989.88,730673.75,0,2018-06-27 00:00:00
8,Alabama,02,"AMASON, THOMAS MARRION III",Republican Party,Challenger,15380.59,8366.4,0,2014.19,14007.45,-2516.19,0,2018-05-16 00:00:00
9,Alabama,02,"BRIGHT, BOBBY NEAL SR.",Republican Party,Challenger,406557.48,96077.48,1000,309480,243958.88,162598.6,309480,2018-06-27 00:00:00
10,Alabama,02,"HOBSON, RICH",Republican Party,Challenger,76307.05,75807.05,0,500,75633.71,673.34,0,2018-06-30 00:00:00
11,Alabama,02,"ISNER, TABITHA KAY",Democratic Party,Challenger,240069.13,225790.4,0,14278.73,152634.55,87434.58,0,2018-06-30 00:00:00
12,Alabama,02,"MOORE, FELIX BARRY",Republican Party,Challenger,152607.22,76882,250,75475.22,149654.77,2952.45,75475.22,2018-06-30 00:00:00
13,Alabama,02,"WILLIAMS, AUDRI SCOTT 1955",Democratic Party,Challenger,35365.02,33165.02,0,2200,35210.22,-328,0,2018-06-30 00:00:00
14,Alabama,03,"ROGERS, MICHAEL",Republican Party,Incumbent,959572.26,351192,598725,0,462188.68,1022930.54,0,2018-06-30 00:00:00
15,Alabama,03,"HAGAN, MALLORY",Democratic Party,Challenger,178348.86,163699.6,14500,0,153680.16,24068.72,0,2018-06-30 00:00:00
16,Alabama,03,"WINFREY, ADIA MCCLELLAN DR",Democratic Party,Challenger,13910.25,8989,0,941.25,8665.05,400.11,0,2018-06-30 00:00:00
17,Alabama,04,"ADERHOLT, ROBERT B. REP.",Republican Party,Incumbent,1258842.08,396498.48,850344.15,0,725461.54,998892.8,0,2018-06-30 00:00:00
18,Alabama,04,"AUMAN, JAMES LEE",Democratic Party,Challenger,21058.07,21018.07,0,40,12272.16,8986.06,0,2018-06-30 00:00:00
19,Alabama,04,"BLACKMON, ANTHONY MR",Republican Party,Challenger,5648,0,0,5648,5355.84,319.36,29,2018-05-16 00:00:00
20,Alabama,04,"NEIGHBORS, RICKY ALLEN",Democratic Party,Challenger,21088.35,20588.35,500,0,17429.2,0,0,2018-06-30 00:00:00
